55.880353 -4.279971 | fergus dr | glasgow | lanarkshire | g20 6ah
55.858091 -4.218532 | 17 garfield st | glasgow | lanarkshire | g31 1dr
55.833883 -4.176261 | 2 drumhead rd | glasgow | lanarkshire | g32 8ex
55.887617 -4.345358 | 456 anniesland rd | glasgow | lanarkshire | g13 1yh
55.848504 -4.286977 | claremont centre 39 durham st unit 10-13 | glasgow | lanarkshire | g41 1bs
55.859088 -4.242734 | 15 ingram st | glasgow | lanarkshire | g1 1ha
55.856137 -4.295379 | the hub pacific quay building 60 | glasgow | lanarkshire | g51 1dz
55.827175 -4.284916 | 145 kilmarnock rd suite 122 | glasgow | lanarkshire | g41 3ja
104 esslemont ave | glasgow | lanarkshire | g14 9aa
55.827060 -4.285088 | 6 trefoil ave | glasgow | lanarkshire | g41 3pf
55.865415 -4.268540 | 272 bath st | glasgow | lanarkshire | g2 4jr
55.871092 -4.314812 | 14 apsley st | glasgow | lanarkshire | g11 7sy
55.822495 -4.257108 | 9 kings park rd flat 32 | glasgow | lanarkshire | g44 4tt
55.830559 -4.279206 | dr m m sharif dr | glasgow | lanarkshire | g41 3ya
55.869912 -4.279263 | 14 park circus | glasgow | lanarkshire | g3 6ax
55.882546 -4.255323 | 127 allander st | glasgow | lanarkshire | g22 5jj
55.862593 -4.253351 | 166 buchanan st | glasgow | lanarkshire | g1 2lw
56.045050 -4.371698 | 20 station rd | glasgow | lanarkshire | g63 9nu
55.805601 -4.241930 | 110 glenacre dr | glasgow | lanarkshire | g45 9ef
56.043025 -4.379549 | 22 allan rd | glasgow | lanarkshire | g63 9qe
55.805550 -4.328156 | 34b kilmuir rd | glasgow | lanarkshire | g46 8bq
55.870587 -4.300632 | 31 211 dumbarton rd | glasgow | lanarkshire | g11 6aa
55.897052 -4.259516 | 122 strathmore rd | glasgow | lanarkshire | g22 7dw
55.860321 -4.257171 | 111 union st suite 2 6 | glasgow | lanarkshire | g1 3ta
55.925765 -4.457176 | 127 thistle neuk flat 7 | glasgow | lanarkshire | g60 5lz
55.987524 -4.324329 | 16 station rd blanefield | glasgow | lanarkshire | g63 9hr
55.818530 -4.167352 | 15 greenlees rd | glasgow | lanarkshire | g72 8jb
55.856738 -4.259970 | 5 oswald st | glasgow | lanarkshire | g1 4qr
55.934436 -4.158192 | southbank business park strathkelvin pl | glasgow | lanarkshire | g66 1xq
55.858010 -4.245013 | 30 bell st unit 5 | glasgow | lanarkshire | g1 1lg
55.977471 -4.056871 | 76 main st | glasgow | lanarkshire | g65 0al
55.852499 -4.219627 | broad st industrial forrest st units 16 | glasgow | dunbartonshire | g40 2tx
55.870658 -4.308593 | 389 dumbarton rd | glasgow | lanarkshire | g11 6be
55.772128 -4.157637 | 32-36 calderwood square | glasgow | lanarkshire | g74 3bq
55.863797 -4.257172 | 75 bath st | glasgow | lanarkshire | g2 2dh
55.853397 -4.301812 | 35 whitefield rd unit 2 | glasgow | lanarkshire | g51 2yb
55.889746 -4.324801 | anniesland library 833-839 crow rd | glasgow | lanarkshire | g13 1le
55.785902 -4.098355 | 190 main st | glasgow | lanarkshire | g72 0et
55.849400 -4.225979 | 11 olympia st | glasgow | lanarkshire | g40 3ta
55.859879 -4.251061 | ingram house 227 ingram st | glasgow | lanarkshire | g1 1da
55.899234 -4.231216 | 38-40 kirkintilloch rd | glasgow | lanarkshire | g64 2al
55.890519 -4.146570 | floor 9 buchanan tower buchanan business park | glasgow | lanarkshire | g33 6hz
55.851515 -4.168996 | 1122 shettleston rd | glasgow | lanarkshire | g32 7ph
55.866931 -4.275211 | 20-23 woodside pl | glasgow | lanarkshire | g3 7qf
55.876706 -4.256162 | 2 dawson rd suite 5 | glasgow | lanarkshire | g4 9ss
55.860740 -4.258130 | 82 gordon st | glasgow | lanarkshire | g1 3rs
55.853924 -4.277894 | 492 paisley rd | glasgow | lanarkshire | g5 8re
